timestamp,switch_id,port,tx_bytes,rx_bytes,tx_packets,rx_packets,latency,switch_latency,cpu_usage,mem_usage
2025-05-31 19:38:34,1,2,2050,1739,14,12,104,3.65,100.0,72.1
2025-05-31 19:38:34,3,1,2140,556,15,6,72,2.96,100.0,72.1
2025-05-31 19:38:34,3,2,1705,646,13,7,72,2.96,100.0,72.1
2025-05-31 19:38:34,3,3,1739,2050,12,14,71,2.96,100.0,72.1
2025-05-31 19:38:34,2,1,1809,646,13,7,393,4.43,100.0,72.1
2025-05-31 19:38:34,2,2,1595,646,12,7,393,4.43,100.0,72.1
2025-05-31 19:38:34,2,3,2050,2050,14,14,393,4.43,100.0,72.1
2025-05-31 19:38:39,1,1,2050,2050,14,14,105,3.65,100.0,72.0
2025-05-31 19:38:39,1,2,2050,1739,14,12,104,3.65,100.0,72.0
2025-05-31 19:38:39,3,1,2140,556,15,6,72,2.96,100.0,72.0
2025-05-31 19:38:39,3,2,1705,646,13,7,72,2.96,100.0,72.0
2025-05-31 19:38:39,3,3,1739,2050,12,14,71,2.96,100.0,72.0
2025-05-31 19:38:39,2,1,1809,646,13,7,393,4.43,100.0,72.0
2025-05-31 19:38:39,2,2,1595,646,12,7,393,4.43,100.0,72.0
2025-05-31 19:38:39,2,3,2050,2050,14,14,393,4.43,100.0,72.0
2025-05-31 19:38:44,1,1,2050,2050,14,14,105,3.65,100.0,71.9
2025-05-31 19:38:44,1,2,2050,1739,14,12,104,3.65,100.0,71.9
2025-05-31 19:38:44,3,1,2140,556,15,6,72,2.96,100.0,71.9
2025-05-31 19:38:44,3,2,1705,646,13,7,72,2.96,100.0,71.9
2025-05-31 19:38:44,3,3,1739,2050,12,14,71,2.96,100.0,71.9
2025-05-31 19:38:44,2,1,1809,646,13,7,393,4.43,100.0,71.9
2025-05-31 19:38:44,2,2,1595,646,12,7,393,4.43,100.0,71.9
2025-05-31 19:38:44,2,3,2050,2050,14,14,393,4.43,100.0,71.9
2025-05-31 19:38:49,1,1,2050,2050,14,14,105,3.65,100.0,71.9
2025-05-31 19:38:49,1,2,2050,1739,14,12,104,3.65,100.0,71.9
2025-05-31 19:38:49,3,1,2140,556,15,6,72,2.96,100.0,71.9
2025-05-31 19:38:49,3,2,1705,646,13,7,72,2.96,100.0,71.9
2025-05-31 19:38:49,3,3,1739,2050,12,14,71,2.96,100.0,71.9
2025-05-31 19:38:49,2,1,1809,646,13,7,393,4.43,100.0,71.9
2025-05-31 19:38:49,2,2,1595,646,12,7,393,4.43,100.0,71.9
2025-05-31 19:38:49,2,3,2050,2050,14,14,393,4.43,100.0,71.9
2025-05-31 19:38:54,1,1,2050,2050,14,14,105,3.65,100.0,71.9
2025-05-31 19:38:54,1,2,2050,1739,14,12,104,3.65,100.0,71.9
2025-05-31 19:38:54,3,1,2140,556,15,6,72,2.96,100.0,71.9
2025-05-31 19:38:54,3,2,1705,646,13,7,72,2.96,100.0,71.9
2025-05-31 19:38:54,3,3,1739,2050,12,14,71,2.96,100.0,71.9
2025-05-31 19:38:54,2,1,1809,646,13,7,393,4.43,100.0,71.9
2025-05-31 19:38:54,2,2,1595,646,12,7,393,4.43,100.0,71.9
2025-05-31 19:38:54,2,3,2050,2050,14,14,393,4.43,100.0,71.9
2025-05-31 19:38:59,1,1,2050,2050,14,14,105,3.65,100.0,71.9
2025-05-31 19:38:59,1,2,2050,1739,14,12,104,3.65,100.0,71.9
2025-05-31 19:38:59,3,1,2140,556,15,6,72,2.96,100.0,71.9
2025-05-31 19:38:59,3,2,1705,646,13,7,72,2.96,100.0,71.9
2025-05-31 19:38:59,3,3,1739,2050,12,14,71,2.96,100.0,71.9
2025-05-31 19:38:59,2,1,1809,646,13,7,393,4.43,100.0,71.9
2025-05-31 19:38:59,2,2,1595,646,12,7,393,4.43,100.0,71.9
2025-05-31 19:38:59,2,3,2050,2050,14,14,393,4.43,100.0,71.9
